local_alias,item_name,rate
1-1/4 brass tee,1¼ x 1¼ x 1¼ CPVC Brass FPT-soc TEE,455.0
1-1/4x1/2 brass tee,1¼ x 1¼ x ½ CPVC Brass FPT-soc TEE,380.0
3/4x1/2 mbt,¾ x ¾ x ½ CPVC Male Brass TEE (THDXsoc),228.0
1x1/2 mbt,1 x 1 x ½ CPVC Male Brass TEE (THDXsoc),251.0
1/2 4way tee,½ CPVC Cross-soc,47.0
3/4 4way tee,¾ CPVC Cross-soc,99.0
1 4way tee,1 CPVC Cross-soc,166.0
1-1/4 4way tee,1¼ CPVC Cross-soc,217.0
1-1/2 4way tee,1½ CPVC Cross-soc,267.0
2 4way tee,2 CPVC Cross-soc,543.0
1/2 mta,½ CPVC Male Adaptor (THDXsoc),25.0
3/4 mta,¾ CPVC Male Adaptor (THDXsoc),35.0
1 mta,1 CPVC Male Adaptor (THDXsoc),52.0
1-1/4 mta,1¼ CPVC Male Adaptor (THDXsoc),91.0
1-1/2 mta,1½ CPVC Male Adaptor (THDXsoc),129.0
2 mta,2 CPVC Male Adaptor (THDXsoc),252.0
3/4x1/2 mta,¾ x ½ CPVC Reducer Male Adaptor (THDXsoc),48.0
1x3/4 mta,1 x ¾ CPVC Reducer Male Adaptor (THDXsoc),57.0
1/2 brass mta,½ CPVC Male Adaptor Brass (THDXsoc),255.0
3/4 brass mta,¾ CPVC Male Adaptor Brass (THDXsoc),309.0
1 brass mta,1 CPVC Male Adaptor Brass (THDXsoc),550.0
1-1/4 brass mta,1¼ CPVC Male Adaptor Brass (THDXsoc),1144.0
1-1/2 brass mta,1½ CPVC Male Adaptor Brass (THDXsoc),1483.0
2 brass mta,2 CPVC Male Adaptor Brass (THDXsoc),2635.0
3/4x1/2 brass mta,¾ x ½ CPVC Reducer Male Adaptor Brass (THDXsoc),234.0
1x1/2 brass mta,1 x ½ CPVC Reducer Male Adaptor Brass (THDXsoc),350.0
1x3/4 brass mta,1 x ¾  CPVC Reducer Male Adaptor Brass (THDXsoc),350.0
1/2 fta,½ CPVC Female Adaptor (THDXsoc),31.0
3/4 fta,¾ CPVC Female Adaptor (THDXsoc),45.0
1 fta,1 CPVC Female Adaptor (THDXsoc),67.0
1-1/4 fta,1¼ CPVC Female Adaptor (THDXsoc),117.0
1-1/2 fta,1½ CPVC Female Adaptor (THDXsoc),227.0
2 fta,2 CPVC Female Adaptor (THDXsoc),359.0
3/4x1/2 fta,¾ x ½ CPVC Reducer Female Adaptor (THDXsoc),57.0
1/2 brass fta,½ CPVC Female Adaptor Brass (THDXsoc),246.0
3/4 brass fta,¾ CPVC Female Adaptor Brass (THDXsoc),314.0
1 brass fta,1 CPVC Female Adaptor Brass (THDXsoc),634.0
1-1/4 brass fta,1¼ CPVC Female Adaptor Brass (THDXsoc),1199.0
1-1/2 brass fta,1½ CPVC Female Adaptor Brass (THDXsoc),1379.0
2 brass fta,2 CPVC Female Adaptor Brass (THDXsoc),2279.0
3/4x1/2 brass fta,¾ x ½ CPVC Reducer Coupler Brass (THDXsoc),125.0
1x1/2 brass fta,1 x ½ CPVC Reducer Coupler Brass (THDXsoc),162.0
1x3/4 brass fta,1 x ¾ CPVC Reducer Coupler Brass (THDXsoc),197.0
1/2 union,½ CPVC Union soc,84.0
3/4 union,¾ CPVC Union soc,138.0
1 union,1 CPVC Union soc,164.0
1-1/4 union,1¼ CPVC Union soc,267.0
1-1/2 union,1½ CPVC Union soc,439.0
2 union,2 CPVC Union soc,792.0
3/4x1/2 bush,¾ x ½ CPVC Reducer Bushing SPGxSOC,21.0
1x1/2 bush,1 x ½ CPVC Reducer Bushing SPGxSOC,40.0
1x3/4 bush,1 x ¾ CPVC Reducer Bushing SPGxSOC,35.0
1-1/4x1/2 bush,1¼ x ½ CPVC Reducer Bushing SPGxSOC,62.0
1-1/4x3/4 bush,1¼ x ¾ CPVC Reducer Bushing SPGxSOC,57.0
1-1/4x1 bush,1¼ x 1 CPVC Reducer Bushing SPGxSOC,64.0
1-1/2x1/2 bush,1½ x ½ CPVC Reducer Bushing SPGxSOC,102.0
1-1/2x3/4 bush,1½ x ¾ CPVC Reducer Bushing SPGxSOC,94.0
1-1/2x1 bush,1½ x 1 CPVC Reducer Bushing SPGxSOC,88.0
1-1/2x1-1/4 bush,1½ x 1¼ CPVC Reducer Bushing SPGxSOC,62.0
2x1/2 bush,2 x ½ CPVC Reducer Bushing SPGxSOC,191.0
2x3/4 buxh,2 x ¾ CPVC Reducer Bushing SPGxSOC,173.0
2x1 bush,2 x 1 CPVC Reducer Bushing SPGxSOC,176.0
2x1-1/4 bush,2 x 1¼ CPVC Reducer Bushing SPGxSOC,191.0
2x1-1/2 bush,2 x 1½ CPVC Reducer Bushing SPGxSOC,160.0
2-1/2x1 bush,2½ x 1 CPVC Bushing,647.0
2-1/2x1-1/2 bush,2½ x 1½ CPVC Bushing,647.0
2-1/2x2 bush,2½ x 2 CPVC Bushing,647.0
3x1-1/2 bush,3 x 1½ CPVC Bushing,697.0
3x2 bush,3 x 2 CPVC Bushing,670.0
4x1-1/2 bush,4 x 1½ CPVC Bushing,856.0
4x2 bush,4 X 2 CPVC Bushing,1136.0
1/2 t bush,½ x ½ CPVC Transition Bushing SPGxSoc,19.0
3/4 t bush,¾ x ¾ CPVC Transition Bushing SPGxSoc,26.0
1 t bush,1 x 1 CPVC Transition Bushing SPGxSoc,56.0
1-1/4 t bush,1¼ x 1¼ CPVC Transition Bushing SPGxSoc,86.0
1-1/2 t bush,1½ x 1½ CPVC Transition Bushing SPGxSoc,140.0
2 t bush,2 x 2 CPVC Transition Bushing SPGxSoc,249.0
1 short t bush,1 CPVC Short Transition Bush,20.0
1-1/4 short t bush,1¼ CPVC Short Transition Bush,29.0
1-1/2 short t bush,1½ CPVC Short Transition Bush,56.0
2 short t bush,2 CPVC Short Transition Bush,74.0
1/2 tank gilly,½ CPVC Tank Adaptor (THDXTHD),88.0
3/4 tank gilly,¾ CPVC Tank Adaptor (THDXTHD),97.0
1 tank gilly,1 CPVC Tank Adaptor (THDXTHD),149.0
1-1/4 tank gilly,1¼ CPVC Tank Adaptor (THDXTHD),237.0
1-1/2 tank gilly,1½  CPVC Tank Adaptor (THDXTHD),343.0
2 tank gilly,2 CPVC Tank Adaptor (THDXTHD),534.0
3/4 tank gilly socket,¾ CPVC Tank Adaptor (Socket Type)  (THDXsoc),84.0
1 tank gilly socket,1 CPVC Tank Adaptor (Socket Type)  (THDXsoc),130.0
1-1/4 tank gilly socket,1¼ CPVC Tank Adaptor (Socket Type)  (THDXsoc),219.0
1-1/2 tank gilly socket,1½ CPVC Tank Adaptor (Socket Type)  (THDXsoc),296.0
2 tank gilly socket,2 CPVC Tank Adaptor (Socket Type)  (THDXsoc),510.0
1/2 tank gilly spigot,½ CPVC Tank Adaptor (Spigot Type)  (THDXspg),86.0
3/4 tank gilly spigot,¾ CPVC Tank Adaptor (Spigot Type)  (THDXspg),130.0
1 tank gilly spigot,1 CPVC Tank Adaptor (Spigot Type)  (THDXspg),203.0
1-1/4 tank gilly spigot,1¼ CPVC Tank Adaptor (Spigot Type)  (THDXspg),218.0
1-1/2 tank gilly spigot,1½ CPVC Tank Adaptor (Spigot Type)  (THDXspg),488.0
2 tank gilly spigot,2 CPVC Tank Adaptor (Spigot Type)  (THDXspg),514.0
3/4 long bend,¾ CPVC Long Radius Bend,117.0
1 long bend,1 CPVC Long Radius Bend,154.0
1-1/4 long bend,1¼ CPVC Long Radius Bend,261.0
