local_alias,item_name,rate
"3"" gi clamp","3"" GI Clamp",15.0
"4"" gi clamp","4"" GI Clamp",25.0
500grm lubricant,500grm SWR Pipe Joint Lubricant,150.0
axablade,Axablade,10.0
wall cutting blade,Wall Cutting Blade,150.0
axablade double,Axablade Double,10.0
"4"" swr endcap","4"" SWR EndCap",90.0
white cement 1kg,White Cement 1kg,40.0
1-1/2 pvc long bend,"1-1/2"" Pvc Long Bend",40.0
rod cutting blade,Rod Cutting Blade,20.0
15x15 rcc cover,"15""x15"" RCC Cover",290.0
"2-1/2"" nail kg","2-1/2"" Nail 1kg",100.0
"2"" nail kg","2"" Nail 1kg",100.0
hole jali,Hole Jali S.S,60.0
plain jali,Plain Jali S.S,60.0
18x18 rcc manhole cover heavy,18x18 RCC Manhole Cover (heavy),350.0
16x16 rcc cover,"16""x16"" RCC Cover",290.0
waste pipe,Waste Pipe,80.0
1/2x2 gi nipple,"1/2""x2"" GI Nipple",25.0
1/2x3 gi nipple,"1/2""x3"" GI Nipple",40.0
100ml pvc solution,100ml Pvc Solution,60.0
